time,velocity,angle,resistance_raw,pvdf_mv
7.085187000004225,8.0,0.8047447,5545.0,0.693125
7.229645800005528,8.0,0.0,5599.0,0.6998751
7.374817500007339,8.0,2.141849,4651.0,0.581375
7.527829500002554,8.0,6.723025,3765.0,0.470625
7.676768999997876,8.0,13.20807,3663.0,0.457875
7.857319999995525,8.0,20.40706,4395.0,0.549375
7.977814099998795,8.0,27.60605,2559.0,0.319875
8.126969200005988,8.0,35.28101,3067.0,0.383375
8.278423399999156,8.0,42.95597,2490.0,0.31125
8.432377599994652,8.0,0.0,2705.0,0.338125
8.577706500000204,8.0,42.46421,5964.0,0.7455
8.728416400001151,8.0,38.35863,6994.0,0.87425
8.900046499999007,8.0,31.71727,7191.0,0.898875
9.027662000007695,8.0,24.47215,6912.0,0.864
9.176805800001603,8.0,16.74402,6335.0,0.7918751
9.3283325000084,8.0,8.834755,5169.0,0.646125
9.476834600005532,8.0,0.6839905,7108.0,0.8885
9.631213800006662,8.0,0.0,5568.0,0.6960001
9.778077700000722,8.0,2.26084,4537.0,0.567125
9.930513700004667,8.0,6.961009,3647.0,0.455875
10.078128900000593,8.0,13.44605,3995.0,0.499375
10.226603500006604,8.0,20.58555,4298.0,0.53725
10.377911200004746,8.0,27.78454,2558.0,0.31975
10.52668559999438,8.0,34.68605,2921.0,0.365125
10.683990300007281,8.0,42.36101,2683.0,0.335375
10.8313582999981,8.0,0.06125627,2926.0,0.36575
10.978477500000736,8.0,42.58496,5751.0,0.718875
11.12979649999761,8.0,38.17751,7059.0,0.882375
11.287514399999054,8.0,32.01915,6827.0,0.8533751
11.471206500005792,8.0,24.29102,6989.0,0.873625
11.589100199998938,8.0,16.38176,5996.0,0.7495
11.738802000007126,8.0,8.412125,4576.0,0.572
11.890335600008257,8.0,0.1406059,5594.0,0.69925
12.054896600006032,8.0,0.0,4231.0,0.5288751
12.191592100003618,8.0,1.903866,4842.0,0.60525
12.339868099996238,8.0,6.663529,4301.0,0.537625
12.502674899995327,8.0,12.97008,4102.0,0.5127501
12.639792100002524,8.0,20.22857,3674.0,0.45925
12.79123790000449,8.0,27.60605,3071.0,0.383875
12.939434400002938,8.0,35.16202,2442.0,0.30525
13.089743200005614,8.0,42.24202,2699.0,0.337375
13.273166500002844,8.0,0.0,2024.0,0.253
13.391025899996748,8.0,42.58496,6102.0,0.7627501
13.540359499995247,8.0,38.17751,6605.0,0.825625
13.692088299998431,8.0,31.8984,7287.0,0.910875
13.840121900007944,8.0,24.89478,6739.0,0.842375
13.99061750000692,8.0,17.5289,6566.0,0.82075
14.139809500004048,8.0,9.257389,4619.0,0.577375
14.309491199994227,8.0,0.8651199,5465.0,0.683125
14.457280000002356,8.0,0.0,8820.0,1.1025
14.591297899998608,8.0,2.022857,5252.0,0.6565001
14.74119349999819,8.0,6.187563,3752.0,0.469
14.890998899994884,8.0,12.37513,3524.0,0.4405
15.041333300003316,8.0,19.63361,4346.0,0.54325
15.190873500003363,8.0,27.13008,2009.0,0.251125
15.348465899995063,8.0,34.68605,3034.0,0.37925
15.490921300006448,8.0,42.36101,2072.0,0.259
15.64696240000194,8.0,0.06125627,2049.0,0.256125
15.792158099997323,8.0,42.40383,6130.0,0.76625
15.941251900003408,8.0,37.936,7036.0,0.8795
16.107122900008108,8.0,31.41539,7047.0,0.880875
16.241824800003087,8.0,24.3514,7147.0,0.893375
16.392675800001598,8.0,16.44214,6433.0,0.804125
16.541881800003466,8.0,9.257389,4847.0,0.605875
16.692097499995725,8.0,0.7443695,5701.0,0.712625
16.871280799998203,8.0,0.0,7452.0,0.9315001
16.992972799998824,8.0,2.022857,4600.0,0.575
17.142977800001972,8.0,6.782521,4093.0,0.5116251
17.30630690000544,8.0,13.20807,4245.0,0.5306251
17.4446031999978,8.0,19.57412,4057.0,0.507125
17.593890699994517,8.0,26.8921,2896.0,0.362
17.74695810000412,8.0,34.0316,2350.0,0.29375
17.892898699996294,8.0,41.88504,2905.0,0.363125
18.04843290000281,8.0,0.0,2197.0,0.274625
18.194591599996784,8.0,42.58496,5978.0,0.74725
